 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,11,11.192,-126.870,123.114,123.114,9.801
2,11,13.046,-139.399,143.504,143.504,9.925
3,10,14.520,-153.435,145.204,145.204,8.835
4,9,14.232,-150.255,128.091,128.091,7.977
5,8,14.890,-98.130,119.119,119.119,7.018
6,4,14.243,-90.000,56.972,56.972,3.250
7,7,14.908,-99.462,104.358,104.358,5.836
8,9,16.991,-150.255,152.922,152.922,7.504
9,9,13.519,-165.964,121.667,121.667,8.489
10,8,17.456,180.000,139.652,139.652,7.004
11,11,14.791,174.289,162.701,162.701,9.763
