 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,20.851,-120.964,145.956,145.956,6.103
2,4,16.306,-90.000,65.222,65.222,2.610
3,6,15.964,-116.565,95.783,95.783,4.828
4,8,22.410,-90.000,179.283,179.283,6.750
5,6,21.344,-90.000,128.067,128.067,5.250
6,6,23.628,-78.690,141.771,141.771,4.912
7,8,19.495,-63.435,155.959,155.959,7.159
8,5,19.459,-56.310,97.297,97.297,3.816
9,5,20.640,-104.036,103.198,103.198,4.191
10,4,13.043,-90.000,52.174,52.174,3.250
11,5,21.967,-123.690,109.833,109.833,3.750
12,7,21.322,-116.565,149.253,149.253,6.486
