 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,42.460,-108.435,297.222,297.222,6.325
2,7,50.614,-101.310,354.295,354.295,5.799
3,5,31.275,-104.036,156.375,156.375,3.640
4,6,37.871,-135.000,227.225,227.225,5.483
5,10,32.645,-90.000,326.454,326.454,8.504
6,6,32.768,-90.000,196.610,196.610,4.562
7,9,19.694,-45.000,177.248,177.248,8.132
8,9,35.530,-39.806,319.766,319.766,8.004
9,7,33.351,-108.435,233.458,233.458,6.408
10,3,12.056,-90.000,36.167,36.167,2.000
11,5,33.923,-45.000,169.615,169.615,3.536
12,10,36.781,-45.000,367.815,367.815,9.199
13,7,45.098,-30.964,315.689,315.689,5.755
