 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,8,20.672,180.000,165.376,165.376,6.667
2,10,26.688,-32.005,266.875,266.875,9.262
3,5,27.667,-104.036,138.333,138.333,4.216
4,7,25.558,-90.000,178.907,178.907,5.667
5,4,24.407,-108.435,97.630,97.630,3.073
6,4,25.704,-104.036,102.815,102.815,3.480
7,5,26.896,-90.000,134.481,134.481,4.014
8,6,26.847,-90.000,161.080,161.080,4.679
9,3,16.630,-116.565,49.889,49.889,2.357
10,4,28.731,-123.690,114.926,114.926,3.432
11,5,19.485,-90.000,97.426,97.426,4.333
12,4,17.914,-90.000,71.654,71.654,2.667
13,6,23.870,-90.000,143.222,143.222,5.000
14,5,17.894,-75.964,89.470,89.470,3.682
15,6,16.571,-36.870,99.427,99.427,5.000
16,6,20.868,0.000,125.207,125.207,5.333
17,6,14.663,0.000,87.978,87.978,4.667
18,8,17.820,-8.130,142.562,142.562,7.341
19,8,25.055,33.690,200.438,200.438,7.157
20,6,27.803,11.310,166.818,166.818,4.853
21,6,30.412,30.964,182.471,182.471,5.270
22,8,26.778,26.565,214.226,214.226,7.180
23,7,26.540,45.000,185.778,185.778,5.657
24,10,24.998,40.601,249.975,249.975,9.220
