 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,23.663,-36.870,165.644,165.644,5.676
2,6,43.289,-21.801,259.733,259.733,5.385
3,7,35.455,-45.000,248.185,248.185,6.146
4,9,45.862,-50.194,412.758,412.758,8.498
5,5,55.128,-75.964,275.639,275.639,4.123
6,5,42.551,-78.690,212.755,212.755,4.346
7,7,61.288,-51.340,429.019,429.019,6.403
8,6,24.899,-59.036,149.393,149.393,5.467
9,7,48.413,-71.565,338.889,338.889,6.146
10,7,20.301,-59.036,142.105,142.105,6.472
11,5,28.530,-63.435,142.648,142.648,4.069
12,5,30.822,-90.000,154.111,154.111,4.000
13,5,55.728,-90.000,278.639,278.639,4.333
14,5,31.100,-75.964,155.500,155.500,4.123
15,5,31.522,-63.435,157.611,157.611,3.887
16,6,33.617,-90.000,201.704,201.704,5.000
17,7,37.200,-59.036,260.403,260.403,5.821
18,8,40.183,-74.055,321.467,321.467,6.549
19,8,20.637,-66.801,165.098,165.098,7.454
20,9,47.792,-60.255,430.125,430.125,8.062
