 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,8,35.243,-56.310,281.943,281.943,6.824
2,5,34.917,-56.310,174.586,174.586,4.161
3,4,26.462,-56.310,105.847,105.847,3.473
4,6,38.331,-53.130,229.983,229.983,4.802
5,5,31.307,-63.435,156.536,156.536,3.913
6,6,42.777,-53.130,256.660,256.660,5.315
7,6,36.801,-45.000,220.803,220.803,4.776
8,5,28.510,-45.000,142.552,142.552,4.257
9,5,35.382,-36.870,176.911,176.911,4.423
10,8,44.988,-39.806,359.907,359.907,7.267
11,7,29.853,-51.340,208.973,208.973,6.210
12,4,27.094,-56.310,108.375,108.375,3.354
13,4,35.493,-45.000,141.972,141.972,3.363
14,8,33.320,-45.000,266.560,266.560,6.755
