,gel,sample,line,Ponceau-density,Ponceau-area,Blot-density,Blot-area
0,1,fresh,mef,25450.828729571975,0.274480852775069,55.5249024938876,0.2900433629903357
1,1,fresh,mef,14427.483427565492,0.39763976479438473,37.982295765814435,0.20422915840517936
2,1,frozen,mef,24265.726910994563,0.5857761479422768,60.08423808987276,0.17122310067508967
3,1,frozen,mef,23464.452606222723,0.41852379685950325,63.27838061489521,0.303643679722892
4,1,fresh,mefxCG4190,18020.542805911544,0.4035482372979979,47.922567769299725,0.26022940015419554
5,1,fresh,mefxCG4190,24344.36289458391,0.31178178642524185,23.497237946601977,0.2319810898197711
6,1,frozen,mefxCG4190,36853.52417140803,0.402220213367049,39.583705457921646,0.2929861733655688
7,1,frozen,mefxCG4190,24425.839242731377,0.36974791704788923,47.29028177808384,0.2891678835697451
8,2,fresh,mef,16202.699632033102,0.446135719473552,69.20734860891005,0.23092784212108308
9,2,frozen,mef,31727.12489878129,0.2760156761656024,35.95974476537037,0.2668603152237744
10,2,frozen,mef,15938.772659134529,0.423257385645589,52.65967827360016,0.2920288189777263
11,2,fresh,mefxCG4190,29345.99945312685,0.465504411928207,59.54280918650818,0.28257580250407605
12,2,fresh,mefxCG4190,21777.89819450272,0.6019252128804893,76.68698987135015,0.34158916305487125
13,2,frozen,mefxCG4190,22840.347487095714,0.4397503430815382,37.9585052640863,0.18076204034460241
14,2,frozen,mefxCG4190,22699.640515926352,0.3622294291029149,35.45340300197769,0.28877515770810075
