 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,5,24.825,-90.000,124.125,124.125,4.000
2,6,28.396,-68.199,170.375,170.375,5.154
3,5,30.048,-78.690,150.240,150.240,4.279
4,6,34.348,-111.801,206.085,206.085,4.828
5,10,33.039,-108.435,330.391,330.391,9.100
6,7,24.024,-99.462,168.169,168.169,5.836
7,10,28.412,-96.340,284.120,284.120,8.533
8,8,26.655,-129.806,213.238,213.238,6.755
9,4,24.744,-116.565,98.977,98.977,2.550
10,9,25.531,-116.565,229.779,229.779,8.280
11,4,31.204,-146.310,124.815,124.815,3.260
12,3,31.903,-153.435,95.708,95.708,2.136
13,3,39.347,-153.435,118.042,118.042,1.677
14,5,24.341,-14.036,121.704,121.704,4.257
15,5,22.971,-33.690,114.854,114.854,3.606
16,4,25.778,63.435,103.111,103.111,2.850
17,7,26.334,45.000,184.337,184.337,6.374
18,5,17.911,26.565,89.557,89.557,3.816
19,4,22.271,45.000,89.083,89.083,2.704
20,3,17.429,45.000,52.286,52.286,2.151
21,3,19.273,45.000,57.818,57.818,2.151
22,6,17.949,45.000,107.696,107.696,4.802
