 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,6,26.433,-78.690,158.600,158.600,5.220
2,5,27.322,-56.310,136.609,136.609,3.816
3,4,23.062,-26.565,92.250,92.250,2.850
4,5,24.142,-45.000,120.708,120.708,4.161
5,7,27.038,-30.964,189.264,189.264,5.831
6,7,18.635,-30.964,130.444,130.444,5.963
7,5,33.456,26.565,167.281,167.281,4.250
8,4,46.521,-90.000,186.083,186.083,3.092
9,6,56.889,-36.870,341.335,341.335,4.950
10,6,32.806,-36.870,196.837,196.837,4.854
11,4,23.624,-14.036,94.495,94.495,3.400
12,5,23.182,-63.435,115.909,115.909,4.161
13,4,26.854,-71.565,107.417,107.417,3.162
14,6,27.952,-68.199,167.711,167.711,4.924
15,10,26.058,-20.556,260.579,260.579,8.732
16,6,45.508,-30.964,273.046,273.046,5.031
17,7,43.582,-38.660,305.072,305.072,6.010
18,7,26.050,-59.036,182.347,182.347,5.701
