 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,6,71.525,21.801,429.148,429.148,5.031
2,4,41.599,-135.000,166.396,166.396,3.052
3,6,35.946,-111.801,215.676,215.676,5.031
4,6,20.672,-90.000,124.035,124.035,4.757
5,5,33.005,-75.964,165.023,165.023,3.783
6,7,75.178,-80.538,526.245,526.245,5.772
7,8,44.047,-97.125,352.372,352.372,7.319
8,5,36.496,-104.036,182.482,182.482,3.913
9,8,34.649,-116.565,277.192,277.192,6.708
10,6,45.056,-90.000,270.333,270.333,5.000
11,6,27.839,-101.310,167.033,167.033,5.397
12,8,60.927,-99.462,487.418,487.418,6.619
13,6,61.114,-104.036,366.682,366.682,4.596
14,9,34.681,-110.556,312.130,312.130,8.310
15,5,26.652,-90.000,133.258,133.258,3.758
16,7,55.628,-80.538,389.399,389.399,6.329
17,7,45.341,-68.199,317.389,317.389,5.815
18,5,40.420,-63.435,202.099,202.099,4.138
19,6,63.062,-59.036,378.369,378.369,5.489
20,8,56.832,-81.870,454.655,454.655,6.768
21,5,29.965,-90.000,149.823,149.823,3.750
22,8,52.295,-81.870,418.357,418.357,7.071
23,5,68.734,-104.036,343.671,343.671,4.257
24,6,56.876,-78.690,341.254,341.254,5.099
25,6,61.003,-68.199,366.017,366.017,5.483
