 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,8,14.139,-81.870,113.111,113.111,6.671
2,8,15.950,-81.870,127.598,127.598,7.404
3,8,17.543,-38.660,140.346,140.346,6.562
4,11,19.933,-11.310,219.265,219.265,9.582
5,6,17.674,-21.801,106.043,106.043,5.154
6,7,22.805,-45.000,159.638,159.638,6.210
7,5,23.035,-101.310,115.177,115.177,4.366
8,5,14.658,-90.000,73.292,73.292,4.000
9,5,17.887,-90.000,89.438,89.438,3.783
10,8,15.249,-90.000,121.992,121.992,6.768
11,6,14.804,-90.000,88.827,88.827,4.507
12,7,13.911,-90.000,97.378,97.378,5.506
13,5,13.792,-90.000,68.958,68.958,3.500
14,5,14.186,-90.000,70.932,70.932,4.008
15,7,13.167,-81.870,92.171,92.171,6.490
16,6,12.428,-78.690,74.567,74.567,4.912
17,5,14.427,-71.565,72.135,72.135,3.509
18,4,18.307,-63.435,73.229,73.229,2.795
