 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,25.600,-128.660,179.201,179.201,6.200
2,6,18.354,-135.000,110.126,110.126,4.955
3,5,18.694,-90.000,93.472,93.472,4.014
4,6,16.786,-101.310,100.719,100.719,4.955
5,7,20.017,-90.000,140.117,140.117,5.667
6,4,25.300,-71.565,101.202,101.202,3.399
7,8,17.719,-51.340,141.750,141.750,7.134
8,8,18.718,0.000,149.741,149.741,7.000
9,5,15.841,-104.036,79.204,79.204,4.123
10,8,19.949,-90.000,159.593,159.593,7.000
11,5,18.395,-108.435,91.975,91.975,3.801
12,7,21.346,-68.199,149.423,149.423,6.128
13,7,19.275,-128.660,134.928,134.928,6.368
14,8,23.258,8.130,186.063,186.063,7.032
15,6,22.038,-36.870,132.227,132.227,5.185
16,7,16.090,-90.000,112.630,112.630,5.667
17,5,23.739,-45.000,118.694,118.694,4.485
18,5,19.711,-63.435,98.556,98.556,4.216
19,5,19.391,-90.000,96.954,96.954,4.014
20,7,15.433,-9.462,108.030,108.030,5.676
21,7,20.619,-9.462,144.333,144.333,6.083
22,4,16.342,-26.565,65.366,65.366,2.687
