 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,20.677,-141.340,144.740,144.740,6.052
2,5,15.852,-143.130,79.258,79.258,4.373
3,8,19.093,-81.870,152.747,152.747,7.357
4,6,16.703,-63.435,100.217,100.217,4.924
5,6,16.400,-53.130,98.399,98.399,4.950
6,7,17.856,-63.435,124.990,124.990,6.175
7,6,17.688,-68.199,106.129,106.129,5.483
8,6,17.474,-90.000,104.842,104.842,4.500
9,5,20.077,-126.870,100.383,100.383,4.451
10,5,20.192,-56.310,100.958,100.958,4.031
11,5,16.577,-75.964,82.885,82.885,3.579
12,5,16.833,-104.036,84.164,84.164,3.579
13,5,21.158,-135.000,105.792,105.792,3.905
14,7,20.070,-141.340,140.491,140.491,6.403
15,9,17.504,-125.538,157.534,157.534,7.977
16,4,18.993,-161.565,75.972,75.972,3.473
17,5,15.352,-135.000,76.760,76.760,3.536
18,4,16.118,-123.690,64.472,64.472,3.260
19,10,19.867,-125.538,198.674,198.674,8.551
