 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,29.970,-90.000,209.790,209.790,5.667
2,5,25.883,-108.435,129.417,129.417,3.727
3,5,22.304,-90.000,111.519,111.519,4.000
4,8,30.918,-45.000,247.342,247.342,6.616
5,5,25.326,-45.000,126.630,126.630,4.269
6,9,24.922,-45.000,224.302,224.302,7.557
7,6,27.800,-45.000,166.803,166.803,5.426
8,7,24.381,-101.310,170.667,170.667,5.754
9,5,19.205,-75.964,96.023,96.023,3.727
10,6,26.165,-75.964,156.993,156.993,4.679
11,8,27.639,-45.000,221.113,221.113,6.872
12,7,24.437,-59.036,171.062,171.062,6.412
