 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,30.247,-59.036,211.729,211.729,5.618
2,6,47.761,-30.964,286.567,286.567,5.368
3,8,41.581,0.000,332.646,332.646,6.505
4,12,23.049,15.255,276.593,276.593,10.854
5,8,20.045,-105.945,160.360,160.360,6.643
6,6,29.543,-51.340,177.259,177.259,5.350
7,6,64.771,-63.435,388.628,388.628,5.274
8,4,43.418,-71.565,173.674,173.674,3.400
9,7,48.671,-90.000,340.700,340.700,5.755
10,7,38.387,-99.462,268.708,268.708,6.047
11,7,27.985,-30.964,195.898,195.898,5.506
12,5,54.665,-45.000,273.323,273.323,4.070
13,4,38.664,-71.565,154.657,154.657,2.795
14,6,43.810,-75.964,262.858,262.858,4.670
15,6,46.679,-53.130,280.077,280.077,5.350
16,8,44.643,-45.000,357.146,357.146,7.267
17,6,37.039,-53.130,222.233,222.233,4.962
18,5,28.436,-45.000,142.182,142.182,4.423
19,5,16.669,-45.000,83.344,83.344,4.423
20,8,16.847,-56.310,134.777,134.777,7.289
