 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,4,36.220,-108.435,144.880,144.880,3.400
2,6,57.056,-75.964,342.337,342.337,4.610
3,5,21.996,-45.000,109.979,109.979,3.536
4,9,63.742,-129.806,573.682,573.682,7.653
5,4,44.873,-108.435,179.491,179.491,2.693
6,4,46.516,-108.435,186.065,186.065,2.926
7,3,32.759,-135.000,98.276,98.276,2.475
8,5,51.116,-153.435,255.581,255.581,4.161
9,3,33.708,-153.435,101.125,101.125,2.372
10,8,67.237,-153.435,537.896,537.896,7.045
11,4,64.177,0.000,256.708,256.708,3.260
12,9,55.334,0.000,498.010,498.010,8.016
