 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,22.410,-120.964,156.870,156.870,5.831
2,6,13.645,-126.870,81.870,81.870,5.088
3,5,16.468,-116.565,82.338,82.338,4.069
4,6,24.892,-104.036,149.351,149.351,4.534
5,5,26.581,-104.036,132.907,132.907,4.384
6,5,19.556,-90.000,97.782,97.782,3.727
7,7,18.185,-90.000,127.293,127.293,6.342
8,6,18.872,-80.538,113.231,113.231,5.375
9,5,20.070,-116.565,100.352,100.352,4.346
10,7,24.741,-141.340,173.185,173.185,5.935
11,6,22.267,-149.036,133.600,133.600,5.467
12,5,14.173,-78.690,70.866,70.866,4.346
13,7,14.813,-99.462,103.694,103.694,6.412
14,4,14.278,-108.435,57.111,57.111,3.162
15,3,18.105,-90.000,54.315,54.315,1.700
16,6,18.224,-78.690,109.344,109.344,4.714
17,5,16.203,-75.964,81.014,81.014,3.727
18,5,13.441,-135.000,67.204,67.204,4.014
19,4,10.451,-123.690,41.802,41.802,2.981
20,6,15.641,-90.000,93.846,93.846,4.714
21,4,13.222,-71.565,52.889,52.889,3.162
22,6,15.673,-68.199,94.037,94.037,5.270
23,4,20.370,-71.565,81.481,81.481,2.848
