 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,9,54.067,-75.964,486.606,486.606,8.434
2,11,24.457,-90.000,269.029,269.029,9.513
3,9,16.928,-54.462,152.353,152.353,8.162
4,8,33.945,-51.340,271.557,271.557,6.865
5,5,54.419,-56.310,272.094,272.094,4.031
6,4,31.500,-90.000,126.000,126.000,2.750
7,6,21.871,-78.690,131.225,131.225,5.220
8,8,18.806,-56.310,150.447,150.447,7.353
9,8,24.476,-45.000,195.810,195.810,6.755
10,6,44.363,-45.000,266.179,266.179,5.130
11,7,25.839,-71.565,180.876,180.876,6.088
12,5,53.026,-90.000,265.129,265.129,4.257
13,7,15.459,-51.340,108.215,108.215,6.403
14,5,38.975,-123.690,194.875,194.875,3.606
15,6,38.966,-143.130,233.797,233.797,5.000
16,5,24.056,-126.870,120.281,120.281,4.451
