 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,6,24.059,-104.036,144.356,144.356,4.853
2,6,26.632,-78.690,159.793,159.793,4.714
3,3,14.093,-90.000,42.278,42.278,1.667
4,4,18.111,-45.000,72.444,72.444,3.333
5,7,23.143,-18.435,162.000,162.000,6.009
6,5,18.206,-33.690,91.028,91.028,3.606
7,7,19.052,-68.199,133.367,133.367,5.518
8,8,23.055,-45.000,184.439,184.439,7.341
9,5,15.206,-36.870,76.028,76.028,4.346
10,5,19.105,-53.130,95.523,95.523,4.346
11,5,17.304,-45.000,86.519,86.519,3.771
12,10,23.447,-18.435,234.468,234.468,9.068
13,5,23.778,-45.000,118.889,118.889,4.069
14,5,17.479,-33.690,87.396,87.396,3.801
15,5,21.392,-45.000,106.958,106.958,4.485
16,4,16.278,-33.690,65.111,65.111,3.432
17,5,17.532,-56.310,87.662,87.662,3.727
18,4,15.864,-45.000,63.457,63.457,3.073
19,6,22.944,-45.000,137.667,137.667,4.714
