 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,19.367,-80.538,135.568,135.568,6.227
2,6,21.379,-68.199,128.276,128.276,4.853
3,4,14.361,-90.000,57.444,57.444,3.000
4,5,21.187,-56.310,105.937,105.937,4.028
5,8,19.666,-38.660,157.330,157.330,6.616
6,8,23.290,-45.000,186.317,186.317,6.839
7,9,18.793,-113.199,169.134,169.134,8.117
8,8,23.342,-45.000,186.735,186.735,6.839
9,7,17.645,-71.565,123.512,123.512,6.009
10,5,19.400,-161.565,97.000,97.000,3.902
11,6,18.001,-26.565,108.009,108.009,4.534
12,4,19.886,-45.000,79.543,79.543,3.333
13,5,17.013,-56.310,85.065,85.065,4.069
14,6,14.130,-21.801,84.778,84.778,5.270
15,5,14.483,-36.870,72.417,72.417,4.485
16,5,20.626,-104.036,103.132,103.132,3.801
17,7,15.306,-80.538,107.142,107.142,5.588
