 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,16.868,-80.538,118.074,118.074,6.083
2,5,21.589,-90.000,107.944,107.944,4.014
3,8,21.876,-74.055,175.011,175.011,7.280
4,8,20.354,-98.130,162.833,162.833,6.799
5,6,13.932,-116.565,83.593,83.593,4.643
6,8,20.324,-81.870,162.589,162.589,6.675
7,9,14.427,-90.000,129.847,129.847,8.360
8,7,13.678,-99.462,95.744,95.744,6.412
9,6,17.822,-90.000,106.933,106.933,5.333
10,9,13.534,-35.538,121.804,121.804,7.867
11,9,12.560,-63.435,113.042,113.042,8.353
12,7,15.488,-63.435,108.417,108.417,6.412
13,6,13.262,-80.538,79.572,79.572,5.375
14,6,11.960,-21.801,71.761,71.761,5.217
15,9,12.434,-60.255,111.909,111.909,8.413
16,5,14.859,-135.000,74.296,74.296,3.543
17,5,21.441,-75.964,107.204,107.204,3.590
18,6,14.053,-75.964,84.319,84.319,4.643
