 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,10,26.297,-96.340,262.971,262.971,9.025
2,5,19.271,-90.000,96.354,96.354,4.346
3,6,26.032,-90.000,156.193,156.193,4.667
4,6,23.737,-75.964,142.424,142.424,4.679
5,5,25.700,-90.000,128.500,128.500,4.055
6,5,21.448,-75.964,107.241,107.241,4.014
7,5,21.824,-75.964,109.120,109.120,3.902
8,7,19.135,-36.870,133.944,133.944,5.548
9,7,19.135,-36.870,133.944,133.944,5.548
10,5,22.564,-63.435,112.819,112.819,4.177
11,10,23.420,-63.435,234.201,234.201,8.807
12,7,21.255,-59.036,148.787,148.787,5.831
13,5,22.072,-63.435,110.361,110.361,4.333
14,11,24.145,-45.000,265.597,265.597,10.371
15,7,15.390,-99.462,107.728,107.728,5.754
16,5,24.622,-75.964,123.111,123.111,4.014
17,6,22.951,-90.000,137.704,137.704,5.333
18,5,17.265,-75.964,86.326,86.326,3.801
19,4,14.306,-71.565,57.222,57.222,3.283
20,6,16.231,-53.130,97.387,97.387,5.270
