 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,25.313,-59.036,177.192,177.192,5.900
2,4,27.880,-45.000,111.519,111.519,3.052
3,5,25.125,-56.310,125.625,125.625,4.100
4,3,17.361,-26.565,52.083,52.083,2.305
5,6,17.481,-53.130,104.883,104.883,4.931
6,5,18.675,-45.000,93.375,93.375,3.905
7,4,26.113,-45.000,104.451,104.451,2.915
8,4,22.875,-90.000,91.500,91.500,3.092
9,4,22.407,-123.690,89.630,89.630,3.260
10,7,18.810,-149.036,131.667,131.667,5.831
11,8,23.954,-50.194,191.631,191.631,7.250
12,4,18.938,-45.000,75.750,75.750,3.363
13,4,22.491,-33.690,89.965,89.965,3.010
14,7,27.610,-45.000,193.273,193.273,5.668
15,7,37.867,-36.870,265.069,265.069,5.551
16,5,23.006,-56.310,115.030,115.030,3.553
17,5,28.602,-45.000,143.010,143.010,4.070
18,5,24.395,-53.130,121.974,121.974,4.301
19,5,22.156,-56.310,110.780,110.780,3.691
20,4,23.293,-56.310,93.171,93.171,3.021
21,4,17.690,-45.000,70.762,70.762,3.400
22,4,14.709,-71.565,58.838,58.838,3.400
23,5,17.766,-63.435,88.828,88.828,4.301
24,7,30.357,-36.870,212.500,212.500,5.551
25,9,25.011,-29.745,225.101,225.101,7.722
26,6,20.682,-68.199,124.093,124.093,4.828
27,7,24.117,-80.538,168.819,168.819,5.942
28,6,29.797,-78.690,178.783,178.783,4.670
29,6,27.224,-90.000,163.347,163.347,5.256
