 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,5,18.474,-90.000,92.370,92.370,4.257
2,4,14.549,-71.565,58.194,58.194,2.761
3,5,15.218,-45.000,76.089,76.089,4.451
4,6,16.556,-21.801,99.333,99.333,4.596
5,4,17.250,45.000,69.000,69.000,3.182
6,5,15.270,-75.964,76.352,76.352,3.758
7,5,19.106,-123.690,95.531,95.531,3.691
8,6,15.161,-90.000,90.967,90.967,5.056
9,6,18.782,-59.036,112.692,112.692,5.148
10,5,18.153,-56.310,90.764,90.764,3.553
11,7,20.361,-90.000,142.528,142.528,5.500
12,4,22.016,-90.000,88.065,88.065,3.260
13,5,21.772,-135.000,108.859,108.859,4.423
14,5,17.696,-165.964,88.479,88.479,4.191
15,10,24.260,-125.538,242.599,242.599,8.878
16,5,16.113,-75.964,80.563,80.563,4.191
17,6,25.052,-75.964,150.315,150.315,4.854
18,4,23.646,-116.565,94.583,94.583,2.795
19,5,13.949,-90.000,69.747,69.747,4.279
20,5,16.746,14.036,83.729,83.729,3.953
