 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,24.927,-135.000,174.488,174.488,5.836
2,5,18.226,-116.565,91.130,91.130,4.366
3,7,21.355,-78.690,149.486,149.486,5.799
4,4,20.959,-71.565,83.838,83.838,2.795
5,6,17.614,-63.435,105.685,105.685,4.589
6,6,20.481,-45.000,122.887,122.887,5.315
7,5,24.642,-75.964,123.212,123.212,3.953
8,5,15.246,-90.000,76.229,76.229,3.500
9,6,29.116,-90.000,174.695,174.695,4.757
10,6,22.456,-53.130,134.733,134.733,4.809
11,5,22.658,-75.964,113.292,113.292,4.272
12,5,16.452,-104.036,82.258,82.258,4.279
13,6,23.215,-135.000,139.288,139.288,4.650
14,6,22.069,-126.870,132.417,132.417,4.931
15,8,19.787,-108.435,158.296,158.296,6.731
16,7,24.097,-120.964,168.681,168.681,5.831
17,5,19.423,-116.565,97.115,97.115,3.816
18,4,21.252,-90.000,85.007,85.007,3.010
19,10,23.936,-125.538,239.356,239.356,8.951
