 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,4,28.019,-90.000,112.074,112.074,3.333
2,5,21.478,-90.000,107.389,107.389,4.014
3,3,16.000,-90.000,48.000,48.000,2.000
4,5,19.267,-90.000,96.333,96.333,4.000
5,3,23.506,-63.435,70.519,70.519,2.108
6,4,19.296,-90.000,77.185,77.185,2.667
7,4,26.380,-90.000,105.519,105.519,3.333
8,3,27.395,-90.000,82.185,82.185,1.795
9,5,11.819,-108.435,59.093,59.093,3.590
10,4,21.053,-90.000,84.214,84.214,3.350
11,5,16.878,-90.000,84.389,84.389,4.333
12,5,14.364,-104.036,71.822,71.822,4.346
13,4,21.917,-90.000,87.667,87.667,3.000
14,5,17.397,-78.690,86.986,86.986,4.346
15,7,16.554,-71.565,115.877,115.877,5.696
16,5,13.296,-75.964,66.481,66.481,4.333
17,5,16.524,-75.964,82.620,82.620,3.727
18,5,19.991,-56.310,99.954,99.954,3.887
19,4,11.869,-45.000,47.477,47.477,2.867
20,5,20.681,-63.435,103.403,103.403,4.177
21,4,18.042,-56.310,72.169,72.169,2.687
22,6,24.500,-53.130,147.000,147.000,4.714
23,6,21.171,-36.870,127.025,127.025,5.426
24,11,21.333,-90.000,234.663,234.663,9.672
25,6,34.339,-75.964,206.033,206.033,4.773
26,7,22.741,-90.000,159.185,159.185,6.009
27,8,25.153,-90.000,201.222,201.222,7.000
28,7,26.366,-80.538,184.565,184.565,6.412
29,10,25.034,-60.255,250.342,250.342,8.518
30,7,29.068,-45.000,203.479,203.479,5.676
31,4,21.594,-71.565,86.374,86.374,2.687
32,7,18.173,-45.000,127.208,127.208,5.676
33,6,17.329,-168.690,103.976,103.976,5.497
