 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,55.717,-90.000,390.019,390.019,6.333
2,5,80.353,-71.565,401.764,401.764,3.682
3,8,62.282,-56.310,498.254,498.254,7.211
4,6,34.913,-63.435,209.480,209.480,4.773
5,6,36.724,-80.538,220.342,220.342,5.426
6,8,58.658,-98.130,469.261,469.261,6.799
7,8,71.344,-113.199,570.751,570.751,7.180
8,7,29.278,-149.036,204.944,204.944,6.119
9,12,58.967,-45.000,707.606,707.606,10.853
10,6,63.615,-21.801,381.689,381.689,5.385
11,7,66.234,-45.000,463.639,463.639,5.676
12,8,67.138,-128.660,537.106,537.106,6.574
13,7,54.066,-111.801,378.463,378.463,5.667
14,9,71.693,-104.036,645.236,645.236,8.333
15,7,69.272,-108.435,484.907,484.907,6.438
