 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,5,123.800,-123.690,619.000,619.000,3.606
2,6,36.176,-126.870,217.055,217.055,5.000
3,7,16.393,-101.310,114.753,114.753,5.754
4,7,61.399,-80.538,429.790,429.790,5.754
5,7,24.515,-108.435,171.605,171.605,6.146
6,6,53.575,-116.565,321.449,321.449,4.534
7,7,56.218,-90.000,393.525,393.525,5.667
8,8,54.359,-113.199,434.868,434.868,7.311
9,6,43.677,-90.000,262.059,262.059,5.011
10,4,33.074,-90.000,132.296,132.296,3.073
11,6,35.496,-90.000,212.978,212.978,4.667
12,6,51.919,-68.199,311.511,311.511,5.385
13,8,57.014,-105.945,456.111,456.111,7.379
14,6,25.170,-90.000,151.019,151.019,4.714
15,7,57.951,-68.199,405.660,405.660,6.009
16,8,56.639,-45.000,453.111,453.111,6.600
17,6,57.594,-63.435,345.561,345.561,5.217
18,6,76.500,-90.000,459.000,459.000,5.000
19,6,68.784,-120.964,412.702,412.702,5.270
20,6,64.105,-116.565,384.633,384.633,4.807
21,7,63.414,-80.538,443.901,443.901,6.412
22,7,46.656,-30.964,326.593,326.593,5.548
23,7,45.830,-38.660,320.809,320.809,5.897
